"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"Mercedes-Benz EQE AMG 53 4MATIC+";"90.6";450;201
"Mercedes-Benz EQE SUV 300";"90.6";450;201
"Mercedes-Benz EQE SUV 350 4MATIC";"90.6";435;208
"Mercedes-Benz EQE SUV 350+";"96";475;202
"Mercedes-Benz EQE SUV 500 4MATIC";"96";455;211
"Mercedes-Benz EQE SUV AMG 53 4MATIC+";"90.6";420;216
"Mercedes-Benz EQS 350";"96";570;168
"Mercedes-Benz EQS 450 4MATIC";"118";655;180
"Mercedes-Benz EQS 450+";"118";685;172
"Mercedes-Benz EQS 500 4MATIC";"118";640;184
"Mercedes-Benz EQS 580 4MATIC";"118";640;184
"Mercedes-Benz EQS SUV 450 4MATIC";"118";530;223
"Mercedes-Benz EQS SUV 450+";"118";540;219
"Mercedes-Benz EQS SUV 500 4MATIC";"118";530;223
"Mercedes-Benz EQS SUV 580 4MATIC";"118";530;223
"Mercedes-Benz EQS SUV Maybach 680";"118";490;241
"Mercedes-Benz EQT 200 Long";"45";220;205
"Mercedes-Benz EQT 200 Standard";"45";225;200
"Mercedes-Benz EQV 250 Extra-Long";"60";210;286
"Mercedes-Benz EQV 250 Long";"60";215;279
"Mercedes-Benz EQV 300 Extra-Long";"90";315;286
"Mercedes-Benz EQV 300 Long";"90";320;281
"Mercedes-Benz eVito Tourer Extra-Long 60 kWh";"60";215;279
"Mercedes-Benz eVito Tourer Long 60 kWh";"60";220;273
"Mercedes-Benz eVito Tourer Long 90 kWh";"90";325;277
"Mercedes-Benz G 580";"116";395;294
"Mercedes-Benz GLB 250+";"85";465;183
"Mercedes-Benz GLB 350 4MATIC";"85";460;185
"Mercedes-Benz GLC 400 4MATIC";"94";500;188
"MG Cyberster GT";"74.4";395;188
"MG Cyberster Trophy";"74.4";425;175
"MG IM5 Long Range";"96.5";530;182
"MG IM5 Performance";"96.5";490;197
"MG IM5 Standard Range";"73.5";405;181
"MG IM6 Long Range";"96.5";500;193
"MG IM6 Performance";"96.5";440;219
"MG MG4 Electric 51 kWh";"50.8";300;169
"MG MG4 Electric 64 kWh";"61.7";360;171
"MG MG4 Electric 77 kWh";"74.4";425;175
"MG MG4 Electric XPOWER";"61.7";320;193
"MG MG4 Premium Extended Range";"74.4";435;171
"MG MG4 Premium Long Range";"61.7";360;171
"MG MG4 Urban Comfort Long Range";"52.8";325;162
"MG MG4 Urban Comfort Standard Range";"41.9";260;161
"MG MG4 Urban Premium Long Range";"52.8";325;162
"MG MG4 XPOWER";"61.7";325;190
"MG MGS5 EV 49 kWh";"47.1";275;171
"MG MGS5 EV 64 kWh";"62.1";365;170
"MG MGS6 EV Dual Motor 77 kWh";"74.3";390;191
"MG MGS6 EV RWD 77 kWh";"74.3";405;183
"Mini Aceman E";"38.5";230;167
"Mini Aceman JCW";"49.2";280;176
"Mini Aceman SE";"49.2";290;170
"Mini Cooper E";"36.6";250;146
"Mini Cooper JCW";"49.2";290;170
"Mini Cooper SE";"49.2";330;149
"Mini Countryman E";"65.2";400;163
"Mini Countryman SE ALL4";"65.2";385;169
"Mitsubishi Eclipse Cross 87 kWh ";"87";480;181
"NIO EL6 Long Range";"90";435;207
"NIO EL6 Standard Range";"73.5";365;201
"NIO EL8 Long Range";"90";440;205
"NIO EL8 Standard Range";"73.5";360;204
"NIO ET5 Touring Long Range";"90";485;186
"NIO ET5 Touring Standard Range";"73.5";400;184
"Nissan Ariya 63kWh";"63";335;188
"Nissan Ariya 87kWh";"87";450;193
"Nissan Ariya e-4ORCE 87kWh - 225 kW";"87";405;215
"Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo";"87";385;226
"Nissan LEAF Extended Range 75 kWh";"75.1";460;163
"Nissan LEAF Standard Range 52 kWh";"52.9";330;160
"Nissan Micra Extended Range 52 kWh";"52";330;158
"Nissan Micra Standard Range 40 kWh";"40";260;154
"Nissan Townstar EV Passenger";"45";225;200
"Nissan Townstar EV Passenger L2";"45";220;205
"Omoda E5";"58.9";330;178
"Opel Astra Electric 58 kWh";"55.4";345;161
"Opel Astra Sports Tourer Electric 58 kWh";"55.4";335;165
"Opel Combo Electric 50 kWh";"50";235;213
"Opel Combo Electric XL 50 kWh";"50";230;217
"Opel Corsa Electric 50 kWh";"46.3";290;160
"Opel Corsa Electric 54 kWh";"50.8";335;152
"Opel Frontera Electric 44 kWh";"43.8";240;183
