Model;Range (avg = 388 km);
Volkswagen ID.5 GTX;445;
Hyundai IONIQ 5 84 kWh AWD;445;
BYD SEAL 82.5 kWh AWD Excellence;445;
Ford Mustang Mach-E ER AWD;445;
Nissan Ariya 87kWh;450;
Škoda Enyaq 85x;450;
Kia EV9 99.8 kWh RWD;450;
BMW i5 xDrive40 Touring;450;
Polestar 2 Long Range Performance;450;
Ford Explorer Extended Range RWD;450;
Maserati Grecale Folgore;450;
Mercedes-Benz EQE AMG 53 4MATIC+;450;
Hyundai IONIQ 5 84 kWh RWD;450;
Mercedes-Benz EQE SUV 300;450;
Škoda Elroq 85;450;
Hongqi E-HS9 120 kWh;455;
Škoda Enyaq 85;455;
Škoda Elroq RS;455;
Škoda Enyaq 85x;455;
Polestar 2 Long Range Dual Motor;455;
Volvo EX60 P6;455;
Lotus Eletre 900;455;
Kia EV3 Long Range;455;
Volkswagen ID.5 Pro;455;
Hongqi E-HS7 111 kWh Long Range;455;
Kia EV6 Long Range 2WD;455;
Mercedes-Benz EQE SUV 500 4MATIC;455;
Polestar 3 Performance;460;
Škoda Enyaq Coupe 85x;460;
XPENG P7 AWD Performance;460;
Nissan LEAF Extended Range 75 kWh;460;
BYD TANG Flagship;460;
Škoda Enyaq RS;460;
Škoda Enyaq Coupe 85x;460;
Porsche Taycan Sport Turismo;460;
Smart #5 Summit Edition;460;
Mercedes-Benz GLB 350 4MATIC;460;
Smart #5 Brabus;460;
Cadillac LYRIQ 600 E4;460;
Tesla Model Y Performance;460;
Lucid Gravity Touring;460;
BMW i5 xDrive40 Sedan;465;
BMW i5 eDrive40 Touring;465;
Porsche Macan GTS Electric;465;
Porsche Macan Turbo Electric;465;
Smart #5 Pulse;465;
Mercedes-Benz GLB 250+;465;
CUPRA Born VZ;465;
Volkswagen ID.3 GTX Performance;465;
BMW i4 M60 xDrive;465;
Lotus Emeya 900;465;
XPENG G9 AWD Performance;465;
Rolls-Royce Spectre;465;
TOGG T10F Long Range AWD;465;
Audi A6 Avant e-tron;465;
Volvo EX90 Twin Motor Performance;465;
Škoda Enyaq Coupe 85;470;
Tesla Model Y Premium RWD;470;
BMW iX xDrive45;470;
Škoda Enyaq Coupe RS;470;
Porsche Macan 4 Electric;470;
Porsche Macan 4S Electric;470;
Alpine A390 GT;470;
Alpine A390 GTS;470;
Audi SQ6 SUV e-tron;470;
Volkswagen ID.3 GTX;470;
Ford Capri Extended Range RWD;470;
Mazda 6e 78 kWh;470;
Volkswagen ID.7 Tourer Pro;470;
CUPRA Born 170 kW - 79 kWh;470;
Tesla Model Y Premium AWD;475;
Volkswagen ID.3 Pro S;475;
Kia EV4 Hatchback 81.4 kWh;475;
Tesla Model X Plaid;475;
Smart #5 Pro+;475;
Smart #5 Premium;475;
Polestar 2 Long Range Single Motor;475;
Porsche Taycan Turbo GT;475;
Porsche Taycan Turbo GT Weissach;475;
Ford Mustang Mach-E ER RWD;475;
Volkswagen ID.7 Pro;475;
Mercedes-Benz EQE SUV 350+;475;
Voyah Free 106 kWh;480;
Mitsubishi Eclipse Cross 87 kWh ;480;
Mazda 6e Long Range 80 kWh;480;
BMW i5 eDrive40 Sedan;480;
Zeekr 001 Performance AWD;480;
Zeekr 001 Privilege AWD;480;
Renault Scenic E-Tech EV87 220hp;480;
Audi Q6 SUV e-tron quattro;480;
XPENG G9 RWD Long Range;480;
BYD SEAL 82.5 kWh RWD Design;480;
Polestar 3 Long Range Performance;480;
Ford Mustang Mach-E ER RWD;480;
Volvo EX90 Twin Motor;480;
Zeekr 7X Privilege AWD;485;
Polestar 4 Long Range Dual Motor;485;
Volvo ES90 Single Motor;485;
Porsche Taycan Turbo S Cross Turismo;485;
Peugeot e-5008 97 kWh Long Range;485;
NIO ET5 Touring Long Range;485;
Audi A6 Sportback e-tron;485;
Hyundai IONIQ 9 Performance AWD;485;
Opel Grandland Electric 97 kWh;490;
Mercedes-Benz EQS SUV Maybach 680;490;
BMW i7 M70 xDrive;490;
Porsche Taycan 4S;490;
Tesla Model X AWD;490;
Tesla Model Y Long Range RWD;490;
Volvo EX60 Cross Country P10 AWD;490;
Mercedes-Benz CLA 250;490;
Genesis G80 Electrified;490;
Audi Q6 SUV e-tron performance;490;
MG IM5 Performance;490;
TOGG T10F Long Range RWD;490;
Porsche Taycan 4;490;
XPENG P7 RWD Long Range;495;
Polestar 4 Long Range Single Motor;495;
Porsche Taycan;495;
